marker-color,marker-size,marker-symbol,node-details,lon,lat
#005cfa,medium,,NE17/PTC Punggol MRT/LRT Station,103.902356,1.405253468
#005cfa,medium,,PW1 Sam Kee LRT Station,103.9048934,1.409712636
#005cfa,medium,,PW2 Teck Lee LRT Station,103.9066315,1.41275602
#005cfa,medium,,PW3 Punggol Point LRT Station,103.9066368,1.416882681
#005cfa,medium,,PW4 Samudera LRT Station,103.9021388,1.415938832
#005cfa,medium,,PW5 Nibong LRT Station,103.9003068,1.411828257
#005cfa,medium,,PW6 Sumang LRT Station,103.8985366,1.408527458
#005cfa,medium,,PW7 Soo Teck LRT Station,103.8972357,1.405304415
#edfa00,medium,,Waterway Point,103.9020395,1.406570036
#edfa00,medium,,Punggol Town Square,103.9033377,1.407717676
#edfa00,medium,,Punggol View Primary School,103.9052796,1.405339273
#edfa00,medium,,Shell @ 821 Punggol Road,103.9066583,1.404553622
#edfa00,medium,,Fo Guang Shan (Singapore) Temple,103.9055318,1.406736283
#edfa00,medium,,My First Skool EYC @ 2 Punggol Drive,103.9043891,1.407251112
#edfa00,medium,,Punggol Waterway Park,103.9074039,1.409326515
#edfa00,medium,,SAFRA Punggol,103.906095,1.41014166
#edfa00,medium,,SPC @ Sumang,103.9009935,1.41037226
#edfa00,medium,,Punggol Cove Primary School,103.899132,1.411611065
#edfa00,medium,,Valour Primary School,103.8989925,1.407117042
#edfa00,medium,,Church of the Transfiguration,103.9000225,1.406784548
#edfa00,medium,,Dhammakaya Centre,103.8953876,1.405100628
#edfa00,medium,,Punggol West Community Centre,103.8959,1.404438322
#edfa00,medium,,Punggol Topaz Common Green,103.8963372,1.404494631
#edfa00,medium,,Punggol Sapphire Common Green,103.8991535,1.404505357
#edfa00,medium,,Matilda House,103.8991776,1.405108673
#dee805,medium,,Marina Country Club,103.8989604,1.415193405
#dce604,medium,,Punggol Point Park,103.9111698,1.421060281
#dce604,medium,,Punggol Point Police Post,103.9106897,1.421505391
#dce604,medium,,River of Life Community Church,103.9087021,1.418990252
#dce604,medium,,Bridges Montessori Kindergarten,103.90566,1.415591
#dce604,medium,,St Francis Xavier Major Seminary,103.904997,1.414379
#dce604,medium,,Yusuf Ishak Secondary School,103.8966215,1.407192121
#dce604,medium,,Punggol Town Hub,103.9052367,1.408897491
#dce604,medium,,Northshore Primary School,103.9046359,1.418110757
#dce604,medium,,Little Footprints Preschool,103.9090616,1.419263753
#dce604,medium,,Christian Care Services,103.903563,1.415418642
#00fa43,medium,,Blk 273A Punggol Regalia HDB,103.9021415,1.4022208
#00fa43,medium,,Blk 273B Punggol Regalia HDB,103.9016962,1.402043827
#00fa43,medium,,Blk 273C Punggol Regalia HDB,103.9012885,1.402247614
#00fa43,medium,,Blk 273D Punggol Regalia HDB,103.901428,1.402649825
#00fa43,medium,,Blk 274A Punggol Regalia HDB,103.9023185,1.40273563
#00fa43,medium,,Blk 274B Punggol Regalia HDB,103.9023775,1.403159292
#00fa43,medium,,Blk 274C Punggol Regalia HDB,103.9020288,1.403325539
#00fa43,medium,,Blk 274D Punggol Regalia HDB,103.9017123,1.40307885
#00fa43,medium,,Blk 288A Punggol Arcadia HDB,103.9031446,1.402285154
#00fa43,medium,,Blk 288B Punggol Arcadia HDB,103.9032733,1.402708816
#00fa43,medium,,Blk 288C Punggol Arcadia HDB,103.9037132,1.402478215
